Indicator,Xcolumns,FirstColumnHeader,SubHeader,Colors,Year,Values,ChartType,Category,Source,xSecondary,ValueType,YaxisTitle,SortOrder,YOYPercentageChange,ContainMonthlyPercentage,QOM,ISPivot
Growth Rate of real GDP ( in Percent),2016,,,2023,2023,2.399,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,1,0,0,0,0
Growth Rate of real GDP ( in Percent),2017,,,2023,2023,2.6,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,2,13.04,0,0,0
Growth Rate of real GDP ( in Percent),2018,,,2023,2023,1.2,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,3,-53.85,0,0,0
Growth Rate of real GDP ( in Percent),2019,,,2023,2023,3.9,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,4,225,0,0,0
Growth Rate of real GDP ( in Percent),2020,,,2023,2023,-2.1,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,5,-153.85,0,0,0
Growth Rate of real GDP ( in Percent),2021,,,2023,2023,-20.7,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,6,-885.72,0,0,0
Growth Rate of real GDP ( in Percent),2022,,,2023,2023,-6.2,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,7,70.04,0,0,0
Growth Rate of real GDP ( in Percent),2023,,,2023,2023,0,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,8,100,0,0,0
GDP and per capita Income,2004,,,GDP Per Capita (US$),2023,222,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,9,0,0,0,0
GDP and per capita Income,2005,,,GDP Per Capita (US$),2023,255,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,10,14.86,0,0,0
GDP and per capita Income,2006,,,GDP Per Capita (US$),2023,274,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,11,7.45,0,0,0
GDP and per capita Income,2007,,,GDP Per Capita (US$),2023,375,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,12,36.86,0,0,0
GDP and per capita Income,2008,,,GDP Per Capita (US$),2023,388,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,13,3.46,0,0,0
GDP and per capita Income,2009,,,GDP Per Capita (US$),2023,444,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,14,14.43,0,0,0
GDP and per capita Income,2010,,,GDP Per Capita (US$),2023,555,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,15,25,0,0,0
GDP and per capita Income,2011,,,GDP Per Capita (US$),2023,622,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,16,12.07,0,0,0
GDP and per capita Income,2012,,,GDP Per Capita (US$),2023,663,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,17,6.59,0,0,0
GDP and per capita Income,2013,,,GDP Per Capita (US$),2023,652,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,18,-1.66,0,0,0
GDP and per capita Income,2014,,,GDP Per Capita (US$),2023,628,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,19,-3.69,0,0,0
GDP and per capita Income,2015,,,GDP Per Capita (US$),2023,594,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,20,-5.42,0,0,0
GDP and per capita Income,2016,,,GDP Per Capita (US$),2023,520,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,21,-12.46,0,0,0
GDP and per capita Income,2017,,,GDP Per Capita (US$),2023,530,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,22,1.92,0,0,0
GDP and per capita Income,2018,,,GDP Per Capita (US$),2023,502,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,23,-5.29,0,0,0
GDP and per capita Income,2019,,,GDP Per Capita (US$),2023,510,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,24,1.59,0,0,0
GDP and per capita Income,2020,,,GDP Per Capita (US$),2023,512,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,25,0.39,0,0,0
GDP and per capita Income,2021,,,GDP Per Capita (US$),2023,356,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,26,-30.47,0,0,0
GDP and per capita Income,2022,,,GDP Per Capita (US$),2023,352,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,27,-1.13,0,0,0
GDP and per capita Income,2023,,,GDP Per Capita (US$),2023,348,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,B,N,,28,-1.14,0,0,0
GDP and per capita Income,2004,,,GDP Right (Billion US$),2023,5146,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,29,0,0,0,0
GDP and per capita Income,2005,,,GDP Right (Billion US$),2023,6167,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,30,19.84,0,0,0
GDP and per capita Income,2006,,,GDP Right (Billion US$),2023,6927,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,31,12.32,0,0,0
GDP and per capita Income,2007,,,GDP Right (Billion US$),2023,8556,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,32,23.51,0,0,0
GDP and per capita Income,2008,,,GDP Right (Billion US$),2023,10297,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,33,20.34,0,0,0
GDP and per capita Income,2009,,,GDP Right (Billion US$),2023,12066,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,34,17.17,0,0,0
GDP and per capita Income,2010,,,GDP Right (Billion US$),2023,15325,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,35,27,0,0,0
GDP and per capita Income,2011,,,GDP Right (Billion US$),2023,17890,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,36,16.73,0,0,0
GDP and per capita Income,2012,,,GDP Right (Billion US$),2023,20293,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,37,13.43,0,0,0
GDP and per capita Income,2013,,,GDP Right (Billion US$),2023,20170,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,38,-0.61,0,0,0
GDP and per capita Income,2014,,,GDP Right (Billion US$),2023,20616,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,39,2.21,0,0,0
GDP and per capita Income,2015,,,GDP Right (Billion US$),2023,20057,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,40,-2.72,0,0,0
GDP and per capita Income,2016,,,GDP Right (Billion US$),2023,18020,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,41,-10.16,0,0,0
GDP and per capita Income,2017,,,GDP Right (Billion US$),2023,18883,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,42,4.78,0,0,0
GDP and per capita Income,2018,,,GDP Right (Billion US$),2023,18415,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,43,-2.48,0,0,0
GDP and per capita Income,2019,,,GDP Right (Billion US$),2023,19258,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,44,4.57,0,0,0
GDP and per capita Income,2020,,,GDP Right (Billion US$),2023,19955,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,45,3.61,0,0,0
GDP and per capita Income,2021,,,GDP Right (Billion US$),2023,14260,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,46,-28.54,0,0,0
GDP and per capita Income,2022,,,GDP Right (Billion US$),2023,14497,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,47,1.66,0,0,0
GDP and per capita Income,2023,,,GDP Right (Billion US$),2023,14700,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,L,N,,48,1.4,0,0,0
Sectoral Growth rates (in Percent),Agriculture,,,2020,2023,-9.8,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,49,0,0,0,0
Sectoral Growth rates (in Percent),Agriculture,,,2021,2023,-6.6,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,50,32.65,0,0,0
Sectoral Growth rates (in Percent),Industry,,,2020,2023,-12.8,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,51,0,0,0,0
Sectoral Growth rates (in Percent),Industry,,,2021,2023,-5.7,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,52,55.46,0,0,0
Sectoral Growth rates (in Percent),Services,,,2020,2023,-30.1,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,53,0,0,0,0
Sectoral Growth rates (in Percent),Services,,,2021,2023,-6.5,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,54,78.4,0,0,0
Sectoral Growth rates (in Percent),GDP,,,2020,2023,-20.7,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,55,0,0,0,0
Sectoral Growth rates (in Percent),GDP,,,2021,2023,-6.2,Bar,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,56,70.04,0,0,0
Average Exchange Rate (AFN / USD),2021-01,,,AFN/USD ,2021,77.2,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,69,0,1,1,0
Average Exchange Rate (AFN / USD),2021-03,,,AFN/USD ,2021,77.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,70,0.37,1,3,0
Average Exchange Rate (AFN / USD),2021-05,,,AFN/USD ,2021,77.6,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,71,0.09,1,5,0
Average Exchange Rate (AFN / USD),2021-07,,,AFN/USD ,2021,80.2,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,72,3.37,1,7,0
Average Exchange Rate (AFN / USD),2021-09,,,AFN/USD ,2021,86.3,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,73,7.59,1,9,0
Average Exchange Rate (AFN / USD),2021-11,,,AFN/USD ,2021,91.7,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,74,6.28,1,11,0
Average Exchange Rate (AFN / USD),2022-01,,,AFN/USD ,2022,104.6,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,75,35.4,0,1,0
Average Exchange Rate (AFN / USD),2022-03,,,AFN/USD ,2022,89.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,76,15.42,0,3,0
Average Exchange Rate (AFN / USD),2022-05,,,AFN/USD ,2022,88.1,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,77,13.57,0,5,0
Average Exchange Rate (AFN / USD),2022-07,,,AFN/USD ,2022,88.7,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,78,10.53,0,7,0
Average Exchange Rate (AFN / USD),2022-09,,,AFN/USD ,2022,88.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,79,2.51,0,9,0
Average Exchange Rate (AFN / USD),2022-11,,,AFN/USD ,2022,88.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,80,-3.54,0,11,0
Average Exchange Rate (AFN / USD),2023-01,,,AFN/USD ,2023,89.3,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,81,-14.58,0,1,0
Average Exchange Rate (AFN / USD),2023-03,,,AFN/USD ,2023,88.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,82,-1.08,0,3,0
Average Exchange Rate (AFN / USD),2023-05,,,AFN/USD ,2023,87.6,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,83,-0.56,0,5,0
Average Exchange Rate (AFN / USD),2023-07,,,AFN/USD ,2023,85.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",B,N,,84,-3.57,0,7,0
Average Exchange Rate (AFN / USD),2021-01,,,AnnualChange,2021,-0.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,85,0,1,1,0
Average Exchange Rate (AFN / USD),2021-03,,,AnnualChange,2021,1.7,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,86,444.89,1,3,0
Average Exchange Rate (AFN / USD),2021-05,,,AnnualChange,2021,1.7,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,87,-1.19,1,5,0
Average Exchange Rate (AFN / USD),2021-07,,,AnnualChange,2021,3.9,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,88,132.93,1,7,0
Average Exchange Rate (AFN / USD),2021-09,,,AnnualChange,2021,12.2,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,89,213.88,1,9,0
Average Exchange Rate (AFN / USD),2021-11,,,AnnualChange,2021,19.1,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,90,56.67,1,11,0
Average Exchange Rate (AFN / USD),2022-01,,,AnnualChange,2022,35.4,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,91,7324.48,0,1,0
Average Exchange Rate (AFN / USD),2022-03,,,AnnualChange,2022,15.4,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,92,813.01,0,3,0
Average Exchange Rate (AFN / USD),2022-05,,,AnnualChange,2022,13.6,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,93,711.97,0,5,0
Average Exchange Rate (AFN / USD),2022-07,,,AnnualChange,2022,10.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,94,170.95,0,7,0
Average Exchange Rate (AFN / USD),2022-09,,,AnnualChange,2022,2.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,95,-79.37,0,9,0
Average Exchange Rate (AFN / USD),2022-11,,,AnnualChange,2022,-3.5,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,96,-118.46,0,11,0
Average Exchange Rate (AFN / USD),2023-01,,,AnnualChange,2023,-14.6,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,97,-141.16,0,1,0
Average Exchange Rate (AFN / USD),2023-03,,,AnnualChange,2023,-1.1,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,98,-107,0,3,0
Average Exchange Rate (AFN / USD),2023-05,,,AnnualChange,2023,-0.6,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,99,-104.06,0,5,0
Average Exchange Rate (AFN / USD),2023-07,,,AnnualChange,2023,-3.6,Line,Macro Economics,"Defacto DAB data,UNDP Calculation",L,N,,100,-133.78,0,7,0
Foreign Trade ( in billions of US$),Exports,,,2020,2023,1.4,Bar,Macro Economics,NSIA and ASYCUDA,,N,,101,0,0,0,0
Foreign Trade ( in billions of US$),Exports,,,2021,2023,4.4,Bar,Macro Economics,NSIA and ASYCUDA,,N,,102,214.28,0,0,0
Foreign Trade ( in billions of US$),Exports,,,2022,2023,2,Bar,Macro Economics,NSIA and ASYCUDA,,N,,103,-54.55,0,0,0
Foreign Trade ( in billions of US$),Imports,,,2020,2023,7.7,Bar,Macro Economics,NSIA and ASYCUDA,,N,,104,0,0,0,0
Foreign Trade ( in billions of US$),Imports,,,2021,2023,5.9,Bar,Macro Economics,NSIA and ASYCUDA,,N,,105,-23.38,0,0,0
Foreign Trade ( in billions of US$),Imports,,,2022,2023,8.2,Bar,Macro Economics,NSIA and ASYCUDA,,N,,106,38.98,0,0,0
Foreign Trade ( in billions of US$),Trade Deficit,,,2020,2023,-6.3,Bar,Macro Economics,NSIA and ASYCUDA,,N,,107,0,0,0,0
Foreign Trade ( in billions of US$),Trade Deficit,,,2021,2023,-4.5,Bar,Macro Economics,NSIA and ASYCUDA,,N,,108,28.57,0,0,0
Foreign Trade ( in billions of US$),Trade Deficit,,,2022,2023,-6.1,Bar,Macro Economics,NSIA and ASYCUDA,,N,,109,-35.56,0,0,0
Exports of goods ( in million of US$),Q1,,,2020,2023,203.6,Bar,Macro Economics,NSIA and ASYCUDA,,N,,110,0,0,1,0
Exports of goods ( in million of US$),Q1,,,2021,2023,200.2,Bar,Macro Economics,NSIA and ASYCUDA,,N,,111,-1.67,0,1,0
Exports of goods ( in million of US$),Q1,,,2022,2023,408.7,Bar,Macro Economics,NSIA and ASYCUDA,,N,,112,104.14,0,1,0
Exports of goods ( in million of US$),Q1,,,2023,2023,462.1,Bar,Macro Economics,NSIA and ASYCUDA,,N,,113,13.06,0,1,0
Exports of goods ( in million of US$),Q2,,,2020,2023,30,Bar,Macro Economics,NSIA and ASYCUDA,,N,,114,0,0,2,0
Exports of goods ( in million of US$),Q2,,,2021,2023,134,Bar,Macro Economics,NSIA and ASYCUDA,,N,,115,346.66,0,2,0
Exports of goods ( in million of US$),Q2,,,2022,2023,331,Bar,Macro Economics,NSIA and ASYCUDA,,N,,116,147.01,0,2,0
Exports of goods ( in million of US$),Q3,,,2020,2023,198,Bar,Macro Economics,NSIA and ASYCUDA,,N,,117,0,0,3,0
Exports of goods ( in million of US$),Q3,,,2021,2023,143,Bar,Macro Economics,NSIA and ASYCUDA,,N,,118,-27.78,0,3,0
Exports of goods ( in million of US$),Q3,,,2022,2023,447.7,Bar,Macro Economics,NSIA and ASYCUDA,,N,,119,213.07,0,3,0
Exports of goods ( in million of US$),Q4,,,2020,2023,342.7,Bar,Macro Economics,NSIA and ASYCUDA,,N,,120,0,0,4,0
Exports of goods ( in million of US$),Q4,,,2021,2023,372.1,Bar,Macro Economics,NSIA and ASYCUDA,,N,,121,8.57,0,4,0
Exports of goods ( in million of US$),Q4,,,2022,2023,596.6,Bar,Macro Economics,NSIA and ASYCUDA,,N,,122,60.33,0,4,0
Import of goods ( in million of US$),Q1,,,2020,2023,1530,Bar,Macro Economics,NSIA and ASYCUDA,,N,,123,0,0,1,0
Import of goods ( in million of US$),Q1,,,2021,2023,1570,Bar,Macro Economics,NSIA and ASYCUDA,,N,,124,2.61,0,1,0
Import of goods ( in million of US$),Q1,,,2022,2023,1371,Bar,Macro Economics,NSIA and ASYCUDA,,N,,125,-12.68,0,1,0
Import of goods ( in million of US$),Q1,,,2023,2023,1881.9,Bar,Macro Economics,NSIA and ASYCUDA,,N,,126,37.26,0,1,0
Import of goods ( in million of US$),Q2,,,2020,2023,1093,Bar,Macro Economics,NSIA and ASYCUDA,,N,,127,0,0,2,0
Import of goods ( in million of US$),Q2,,,2021,2023,1679.9,Bar,Macro Economics,NSIA and ASYCUDA,,N,,128,53.69,0,2,0
Import of goods ( in million of US$),Q2,,,2022,2023,1528.9,Bar,Macro Economics,NSIA and ASYCUDA,,N,,129,-8.99,0,2,0
Import of goods ( in million of US$),Q3,,,2020,2023,1938.8,Bar,Macro Economics,NSIA and ASYCUDA,,N,,130,0,0,3,0
Import of goods ( in million of US$),Q3,,,2021,2023,798.9,Bar,Macro Economics,NSIA and ASYCUDA,,N,,131,-58.8,0,3,0
Import of goods ( in million of US$),Q3,,,2022,2023,1719.1,Bar,Macro Economics,NSIA and ASYCUDA,,N,,132,115.18,0,3,0
Import of goods ( in million of US$),Q4,,,2020,2023,1990.6,Bar,Macro Economics,NSIA and ASYCUDA,,N,,133,0,0,4,0
Import of goods ( in million of US$),Q4,,,2021,2023,1258.8,Bar,Macro Economics,NSIA and ASYCUDA,,N,,134,-36.77,0,4,0
Import of goods ( in million of US$),Q4,,,2022,2023,1876,Bar,Macro Economics,NSIA and ASYCUDA,,N,,135,49.03,0,4,0
Inflation Rate,2021-01,,,Overall,2021,4.1,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,136,0,1,1,0
Inflation Rate,2021-03,,,Overall,2021,4.4,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,137,7.54,1,3,0
Inflation Rate,2021-05,,,Overall,2021,1.3,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,138,-69.46,1,5,0
Inflation Rate,2021-07,,,Overall,2021,3.7,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,139,174.81,1,7,0
Inflation Rate,2021-09,,,Overall,2021,7.8,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,140,110.24,1,9,0
Inflation Rate,2021-11,,,Overall,2022,9.2,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,141,0,0,11,0
Inflation Rate,2022-01,,,Overall,2022,13.9,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,142,238.92,0,1,0
Inflation Rate,2022-03,,,Overall,2022,15.3,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,143,245.47,0,3,0
Inflation Rate,2022-05,,,Overall,2022,15.4,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,144,1040.74,0,5,0
Inflation Rate,2022-07,,,Overall,2022,18.3,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,145,394.33,0,7,0
Inflation Rate,2022-09,,,Overall,2022,13.6,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,146,74.87,0,9,0
Inflation Rate,2022-11,,,Overall,2023,9.1,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,147,-0.99,0,11,0
Inflation Rate,2023-01,,,Overall,2023,3.6,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,148,-74.45,0,1,0
Inflation Rate,2023-03,,,Overall,2023,1.8,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,149,-88.15,0,3,0
Inflation Rate,2023-05,,,Overall,2023,-2.8,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,150,-118.38,0,5,0
Inflation Rate,2023-07,,,Overall,2023,-5.9,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,151,-132.23,0,7,0
Inflation Rate,2021-01,,,Food,2021,6.1,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,152,0,1,1,0
Inflation Rate,2021-03,,,Food,2021,5,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,153,-18.69,1,3,0
Inflation Rate,2021-05,,,Food,2021,-1.6,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,154,-132.26,1,5,0
Inflation Rate,2021-07,,,Food,2021,2,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,155,226.87,1,7,0
Inflation Rate,2021-09,,,Food,2021,9.8,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,156,382.75,1,9,0
Inflation Rate,2021-11,,,Food,2022,12.7,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,157,0,0,11,0
Inflation Rate,2022-01,,,Food,2022,20,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,158,227.21,0,1,0
Inflation Rate,2022-03,,,Food,2022,22.1,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,159,345.96,0,3,0
Inflation Rate,2022-05,,,Food,2022,23.2,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,160,1551.87,0,5,0
Inflation Rate,2022-07,,,Food,2022,24.9,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,161,1125.61,0,7,0
Inflation Rate,2022-09,,,Food,2022,17.6,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,162,79.48,0,9,0
Inflation Rate,2022-11,,,Food,2023,10.8,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,163,-14.88,0,11,0
Inflation Rate,2023-01,,,Food,2023,3.2,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,164,-84.12,0,1,0
Inflation Rate,2023-03,,,Food,2023,1.8,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,165,-91.73,0,3,0
Inflation Rate,2023-05,,,Food,2023,-5.8,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,166,-125.19,0,5,0
Inflation Rate,2023-07,,,Food,2023,-10.5,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,167,-142.41,0,7,0
Inflation Rate,2021-01,,,Non-Food,2021,2.2,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,168,0,1,1,0
Inflation Rate,2021-03,,,Non-Food,2021,3.9,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,169,79.62,1,3,0
Inflation Rate,2021-05,,,Non-Food,2021,4.6,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,170,18.55,1,5,0
Inflation Rate,2021-07,,,Non-Food,2021,5.5,Line,Macro Economics,NSIA Data and UNDP Staff Calculation,,P,,171,19.56,1,7,0
